doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_zip,source_pdf,page
INV,CND/26-27/509,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Premia Prunes 100gm,50.0000,08132000,32481.90,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {509} [Not Final].pdf,1
INV,CND/26-27/510,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Roasted Sunflower Seeds 100 g,500.0000,20081920,109939.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {510} [Not Final].pdf,1
INV,CND/26-27/510,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Roasted Pumpkin Seeds 100 g,500.0000,20081920,234877.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {510} [Not Final].pdf,1
INV,CND/26-27/510,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Roasted Watermelon Seeds 100 g,250.0000,20081920,167062.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {510} [Not Final].pdf,1
INV,CND/26-27/510,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Chia Seeds 100 g,750.0000,20081930,202108.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {510} [Not Final].pdf,1
INV,CND/26-27/510,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Roasted Sunflower Seeds 200 g,200.0000,20081920,41708.70,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {510} [Not Final].pdf,1
INV,CND/26-27/510,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Roasted Pumpkin Seeds 200 g,500.0000,20081920,229234.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {510} [Not Final].pdf,1
INV,CND/26-27/510,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Roasted Watermelon Seeds 200 g,200.0000,20081920,131392.80,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {510} [Not Final].pdf,1
INV,CND/26-27/510,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Chia Seeds 200 g,500.0000,20081930,129096.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {510} [Not Final].pdf,1
INV,CND/26-27/511,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Premia Nuts & Seeds Mix 100g (100005422),200.0000,20081990,119532.60,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {511} [Not Final].pdf,1
INV,CND/26-27/511,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Premia Trail Mix 100g ( 100005227),50.0000,20081990,44896.50,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {511} [Not Final].pdf,1
INV,CND/26-27/512,27-Apr-26,CFPL,W-202,Avenue Supermarts Limited (Andra Pradesh),Healthy Choice Roasted Watermelon Seeds 200 g,500.0000,20081920,328482.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {512} [Not Final].pdf,1
INV,CND/26-27/513,27-Apr-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 100 g,350.0000,20081920,76957.65,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {513}.pdf,1
INV,CND/26-27/513,27-Apr-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 100 g,400.0000,20081920,187902.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\270426\D-Mart {513}.pdf,1
