article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
Azmah Dates 500 Gms (110002703),fg,Y,Y,,Y,fg,cfpl+cdpl,Sorting + Packaging,routed,,,
Bajra Flakes,rm,,,,Y,rm,cfpl,,n/a,,,
BAJRI AATA,rm,,,Y,Y,rm,cfpl,,n/a,,,
Banana flavour (241114) NATURAL,rm,,,Y,Y,rm,cfpl,,n/a,,,
Banarasi Box Hamper 03,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Barbeque Almonds,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,,
Barbeque Cashew,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Barbeque Cashew Bulk,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Roasting +Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
Barbeque Coated Peanuts 60gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Barbeque Coated Peanuts Bulk,sfg?,,Y,Y,,,,,"MISSING (has BOM recipe, not in FG Master)",Y,,ARTICLE_NOT_IN_CATALOG; BOM_PARENT_NO_ROUTING; MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Barbeque Flavour,rm,,,,Y,rm,cfpl,,n/a,,,
Barbeque Macadamia,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,Y,
Barbeque Makhana,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,Y,
Barbeque seasoning,rm,,,Y,Y,rm,cfpl,,n/a,,,
BARHI DATES,rm,,,,Y,rm,cdpl,,n/a,,,
Barhi Grade-B,rm,,,,Y,rm,cfpl,,n/a,,,
Barley Flakes,rm,,,,Y,rm,cfpl,,n/a,,,
Barley Lahi,rm,,,,Y,rm,cfpl,,n/a,,,
Basil Seeds (Sabja),rm,,,,Y,rm,cfpl,,n/a,,,
BB Royal Ajwa Dates 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Black Current 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dates - Ajwa 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dates - Deri 500 g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dates - Golden 500 g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dates - Mazafati 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dates - Medjool 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dates - Omani 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
"BB Royal Dates - Red, Seedless 250 g",fg,Y,Y,,Y,fg,cfpl,De-seeding + Packaging,routed,,,
BB Royal Dates - Safawi 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dates - Zahidi 500 g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dried Blue Berries 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dried Blue Berries 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dried Cran Berries 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Dried Cran Berry 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Mazafati Dates 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Medjool Dates 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Bb Royal Omani Dates 500gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Red Dates - With Seeds 500gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BB Royal Safavi Dates 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
BBroyal Black Current 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Berry Mix,fg,Y,Y,,Y,fg,cfpl,Sorting (Bulk Packaging,routed,,,
BESAN AATA,rm,,,,Y,rm,cfpl,,n/a,,,
Black Cardamom,rm,,,,Y,rm,cfpl,,n/a,,,
Black Chia Seeds,rm,,,Y,Y,rm,cfpl,,n/a,,,
Black Pepper (Kali Miri Whole),rm,,,,Y,rm,cfpl,,n/a,,,
Black Pepper Almonds,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
BLACK PEPPER CASHEW,fg,Y,Y,Y,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
Black Pepper Cashew Bulk,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Roasting +Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
Black Pepper Macadamia Trail Mix,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Black Pepper Nutty Seed Mix 250gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Black Pepper Pecannut,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Black Pepper Powder,rm,,,Y,Y,rm,cfpl,,n/a,,,
Black Pepper Seasoning,rm,,,Y,Y,rm,cfpl,,n/a,,,
BLACK PEPPER TOPNOTE LIQUID,rm,,,,Y,rm,cfpl,,n/a,,,
"Black Salt, Kala Namak - Crystal",rm,,,Y,Y,rm,cfpl,,n/a,,,
Black Sesame seeds - Kali Til,rm,,,Y,Y,rm,cfpl,,n/a,,,
Blackcurrant Date Balls 48 gms,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
BLACKPEPPER SEASONING BLEND,rm,,,,Y,rm,cfpl,,n/a,,,
BLANCHED ALMOND FLOUR,rm,,,Y,Y,rm,cfpl,,n/a,,,
Blanched Kernels Peanut Split,rm,,,,Y,rm,cfpl,,n/a,,,
Blanched white Peanut Kernels,rm,,,Y,Y,rm,cfpl,,n/a,,,
BLISSFUL CELEBRATION 360gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Blueberries 230g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Blueberries 75gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Booster Berries 33gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Booster Berries 35gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Boria Mirch - Round Red Chilli / Boriya Chilli,rm,,,,Y,rm,cfpl,,n/a,,,
Brahmi Extract,rm,,,Y,Y,rm,cfpl,,n/a,,,
Brazil Nuts,rm,Y,Y,Y,Y,rm,cfpl,Sorting (Bulk Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Breakfast Mix Bulk,fg,Y,Y,,Y,fg,cfpl,Flavouring + Roasting,routed,,Y,
BUMAN DATES,rm,,,,Y,rm,cdpl,,n/a,,,
CA GOA PRE CASHEW 230GM/P,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
CA INDIAN PREMIUM QUALITY RAISINS 150/P,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
CA PREMIUM ALMOND CALIFORNIA 218GM/P,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
CA PREMIUM DRY CANBERRY 230GM/P,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
CA PREMIUM PINSHROSTSALTIRANIPISTA15 /P,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
CA WALNUT CHILE (VACUUM PACKING)250GM /P,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleria Walnut Kernel 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries American Almond 25-27count - 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries American Pista Inshell Regular 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries American Pista Inshell Selected 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Anjeer 500g Big,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Cafe Galleries Blueberry 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Brazil Nuts 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew 150 - 250gm,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Cafe Galleries Cashew 180 - 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew 180 - 500gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew 210 - 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew 210 - 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew 240 - 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew 240 - 500gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew 320 - 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew Black Pepper 250 Gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cashew Salted 180 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Chia seeds 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
"Cafe Galleries Cocktail Mix 250g(Almond,Cashew,Pista,Black Raisins)",fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Cranberry Whole 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Flax seeds 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Cafe Galleries Hazelnuts 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Healthy Mewa Mix 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Cafe Galleries Macadamia Nut Salted 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Cafe Galleries Pecan nuts 250g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Cafe Galleries  Pepper Pista Inshell 250gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Cafe Galleries Pine nut 250g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Cafe Galleries Premium Cocktail Mix 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Cafe Galleries Pumpkin Seeds 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Cafe Galleries Salted Cashew 210- 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Salted Pumpkin Seeds 250g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
"Cafe Galleries Seeds Mix, 250g",fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Cafe Galleries Selected American Almond 18 count - 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Selected American Almond 20-22 count - 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Cafe Galleries Slice Cranberry 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering + Packaging,routed,,,
Cafe Galleries Sunflower Seeds - 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Cajun Spice Pecan Nuts Loose,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
California Inshell Almonds,rm,,,,Y,rm,cfpl,,n/a,,,
California Pista Inshell,rm,,,Y,Y,rm,cfpl,,n/a,,,
California Pista Inshell Black Pepper,fg,Y,Y,Y,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
California Pista Inshell Jumbo,rm,,,,Y,rm,cfpl,,n/a,,,
California Pista Inshell Pink Salted,fg,Y,Y,Y,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
California Pista Inshell Roasted and Salted,fg,Y,Y,Y,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,Y,Y,MULTILEVEL_SFG (component+has-BOM)
California Pista Inshell Roasted and Salted 75gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
California Walnut Inshell,rm,,,,Y,rm,cfpl,,n/a,,,
California Walnut Kernels 2pc,rm,,,Y,Y,rm,cfpl,,n/a,,,
California Walnut Tukda,rm,,,Y,Y,rm,cfpl,,n/a,,,
Canola Oil,rm,,,,Y,rm,cfpl,,n/a,,,
CAPOL 254N,rm,,,Y,Y,rm,cfpl,,n/a,,,
CAPOL 425M,rm,,,Y,Y,rm,cfpl,,n/a,,,
Caramel Macadamia 250g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Caramel Pecannut,fg,Y,Y,,Y,fg,cfpl,Flavouring (Bulk Packaging,routed,,Y,
Caramel Sweet Popcorn Flavour,rm,,,Y,Y,rm,cfpl,,n/a,,,
Cardamom Powder,rm,,,Y,Y,rm,cfpl,,n/a,,,
Carnial Almond Dragees 100gm,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Roasting + Chocolate + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival A Garden of Bloom 300g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Afghan Apricot 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Almond Choco Bite (Dark Chocolate) 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Chocolate + Packaging,routed,,,
Carnival Almond Choco Bite (Milk Chocolate) 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Chocolate + Packaging,routed,,,
Carnival Almond Choco Bite (White Chocolate) 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Chocolate + Packaging,routed,,,
Carnival Almond Smoked Paprika 100g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Almond Smoked Paprika 200g,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Almonds - Indepance 200g Mono Carton,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Almonds - Independence 200g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Almonds 250 Gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Almonds Independence 1Kg,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Anjeer Regular 400gm,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Apricot Turkey 1x2 300gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Arabian 350gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Arabian Dates 350gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Barbeque Cashew 100gm,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Barbeque Cashew 200gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Barbeque Makhana 125 Gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Barbeque Makhana 55g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Berry Barbeque Trail Mix 200g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Black Currant 250 Gm,fg?,,Y,,,,,,"MISSING (has BOM recipe, not in FG Master)",,,ARTICLE_NOT_IN_CATALOG; BOM_PARENT_NO_ROUTING
Carnival Black Pepper Makhana 125 Gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Black Pepper Makhana 55g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Black Pepper Pistachio 80g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Blueberries Dried - 250G,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Blueberry 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival California Almonds Independence 1kg,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival California Pista Roasted and Salted 800g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival California Pistachio 200g,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival California Pitted Prunes 300 Gms,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Caramel Sesame Walnut 150g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Caramel Sesame Walnut 70g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Cashew (400 - 450) 200g Mono Carton,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Cashew Nut 250g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Cashew Roasted And Salted 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Chatpata Black Raisins 100g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Chatpata Cranberry 100G,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Chatpata Cranberry 250gm,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Chatpata Prunes 100gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Cheese Cashew 100g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Cheese Cashew 230g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Cheese Makhana 125g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Cheese Makhana 55g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Choco Orange Walnut 150gm,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Classic Almonds 100g,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Classic Almonds 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Classic Anjeer 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Classic Cashew 200g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Classic Cashew 250 Gms,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Classic Chia Seeds 1 Kg,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Carnival Classic Chia Seeds 100gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Classic Date Bites 357gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Blending + Bar Forming + Packaging,routed,,,
Carnival Classic Hazelnut 250 GMS,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Classic Indian Kishmish 500 Gms,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Classic Indian Raisins 250g,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Classic Irani Pistachio Salted 80g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Classic Pumpkin Seeds 100g,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Carnival Classic Sunflower Seeds 100G,fg,Y,Y,,Y,fg,cfpl,Sorting + Roasting + Packaging,routed,,,
Carnival Classic Walnut Quarter 250 Gms,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Cocktail Mix 100g,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Cocktail Mix 200g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Cocktail Mix 250g,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Cocktail Mix Plain Pouch 100g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Cranberry Classic Slice 200 G (110001359),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Cranberry Flavoured Chatpata 200g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Cranberry Premium Whole 200 G (110001358),fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Cranberry Sliced 250 Gms,fg,Y,Y,,Y,fg,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering + Packaging,routed,,,
Carnival Cranberry Whole - 100gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Cranberry Whole 250G,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Crunchy Caramel Trail Mix 100g,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Crunchy Caramel Trail Mix 200g,fg,Y,Y,,Y,fg,cfpl,Flavouring + Packaging,routed,,,
Carnival Crunchy Caramel Trail Mix 250g,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Daily Mewa Health Mix 250g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Date Spread 330gm,fg?,,Y,,,,,,"MISSING (has BOM recipe, not in FG Master)",,,ARTICLE_NOT_IN_CATALOG; BOM_PARENT_NO_ROUTING
Carnival Dates Khalas Seedless 350g,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Dates Premium Black Loose,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Deluxe Seeded Black Raisin 250gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Dried Blueberry 250g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Dried Blueberry 250g - Tub,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Dried Cranberry Whole 100g (PP),fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Dried Cranberry Whole 250g - Tub,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Carnival Everyday Cashew W450 - 1kg,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Carnival Festive Almonds (27-28 count) 100gm,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive Almonds (27-28 count) 125gm,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive Almonds (27-28 count) 150gm,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive Almonds (27-28 count) 200gm,fg,Y,Y,Y,Y,fg,cfpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive Black Raisin Seedless 150gm,fg,Y,Y,Y,Y,fg,cfpl,De-seeding + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive California Pista (21-26) 100gm,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive California Pista (21-26) 125gm,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive California Pista (21-26) 150gm,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive California Pista (21-26) 200gm,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
Carnival Festive California Pista (21-26) 80gm,fg,Y,Y,Y,Y,fg,cfpl,Flavouring + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
